"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"RPi1";"raspberry pi 4 HAT";1;"RPI Connector";;;
2;"C1";"CP_Radial_D8.0mm_P3.50mm";1;"470u 10V";;;
3;"C2,C3,C5,C6,C7";"C_Rect_L7.0mm_W2.0mm_P5.00mm";5;"100n";;;
4;"C4";"CP_Radial_D6.3mm_P2.50mm";1;"100u";;;
5;"D1";"D_DO-35_SOD27_P7.62mm_Horizontal";1;"1N4148";;;
6;"MIDI-OUT-J1";"MultiDIN5";1;"MIDI Out Jack";;;
7;"MIDI-IN-J1";"MultiDIN5";1;"MIDI In Jack";;;
8;"R1,R3,R5,R4,R6";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";5;"220R";;;
9;"R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"1k";;;
10;"U2";"DIP-6_W7.62mm";1;"H11L1M";;;
11;"U1";"DIP-14_W7.62mm";1;"74HCT14";;;
12;"A1";"GY-PCM5102";1;"GY-PCM5102";;;
13;"C30,C29,C35,C37,C38,C28,C39,C36";"C_Rect_L4.0mm_W2.5mm_P2.50mm";8;"10n";;;
14;"J2";"RCA RS-234";1;"RCA RS-234";;;
15;"HAT1";"raspberry pi 4";1;"RPI HAT Connector";;;
16;"R8,R7";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"10k";;;
17;"MCPMCP23017_SP2,MCPMCP23017_SP1";"DIP-28_W7.62mm";2;"MCP23017_SP";;;
18;"C22,C16,C19,C13,C23,C20,C9,C26,C27,C32,C8,C18,C21,C34,C33,C17,C25,C11,C24,C31,C12,C15,C10,C14";"C_Rect_L4.0mm_W2.5mm_P2.50mm";24;"100n";;;
19;"MIDI-THRU-J1";"MultiDIN5";1;"MIDI Thru Jack";;;
20;"screen";"aliexpress 5 inch screen";1;"aliexpress 5 inch screen";;;
21;"J1";"Jack_6.35mm_Neutrik_NMJ6HFD2_Horizontal";1;"NEUTRIK";;;
22;"SW14,SW9,SW16,SW20,SW6,SW10,SW8,SW2,SW17,SW4,SW12,SW19,SW5,SW1,SW13,SW18,SW15,SW7,SW11,SW3";"push-button";20;"SW_Push";;;
23;"Enc2,Enc4,Enc1,Enc3";"RotaryEncoder_Alps_EC12E-Switch_Vertical_H20mm";4;"RotaryEncoder_Switch";;;
24;"G***";"Zynthian Logo Mask";1;"MINI v2";;;
